N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
10,1000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8, 9]",0.10000000,78.373476,KGeoMIP|alc=ABCDEFGHIJ|mec=ABCDEFGHIJ
9,1000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8]",0.11111111,27.136234,KGeoMIP|alc=ABCDEFGHIJ|mec=ABCDEFGHI
9,1000000000,"[0, 1, 2, 3, 4, 5, 6]","[7, 8]",0.00000000,17.580039,KGeoMIP|alc=ABCDEFGHIJ|mec=BCDEFGHIJ
8,1000000000,"[0, 1, 2, 3, 4, 5, 6]",[7],0.00000000,4.832026,KGeoMIP|alc=ABCDEFGHIJ|mec=BCDEFGHI
7,1000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,3.497136,KGeoMIP|alc=ABCDEFGHIJ|mec=ABDEGHJ
5,1000000000,[2],"[0, 1, 3, 4]",0.00000000,3.081914,KGeoMIP|alc=ABCDEFGHIJ|mec=ACEGI
5,1000000000,"[1, 2]","[0, 3, 4]",0.00000000,2.524087,KGeoMIP|alc=ABCDEFGHIJ|mec=BDFHJ
9,1000000000,[4],"[0, 1, 2, 3, 5, 6, 7, 8]",0.11111111,22.990526,KGeoMIP|alc=ABCDEFGHI|mec=ABCDEFGHI
8,1000000000,"[0, 1, 2, 3, 4, 5, 6]",[7],0.00000000,10.752400,KGeoMIP|alc=ABCDEFGHI|mec=BCDEFGHI
5,1000000000,[2],"[0, 1, 3, 4]",0.00000000,1.936440,KGeoMIP|alc=ABCDEFGHI|mec=ACEGI
9,1000000000,"[0, 1, 2, 3, 4, 5, 6]","[7, 8]",0.00000000,11.601459,KGeoMIP|alc=BCDEFGHIJ|mec=BCDEFGHIJ
8,1000000000,"[0, 1, 2, 3, 4, 5, 6]",[7],0.00000000,10.228566,KGeoMIP|alc=BCDEFGHIJ|mec=BCDEFGHI
5,1000000000,"[1, 2]","[0, 3, 4]",0.00000000,1.682281,KGeoMIP|alc=BCDEFGHIJ|mec=BDFHJ
8,1000000000,"[0, 1, 2, 3, 4, 5, 6]",[7],0.00000000,4.009363,KGeoMIP|alc=BCDEFGHI|mec=BCDEFGHI
7,1000000000,"[2, 3]","[0, 1, 4, 5, 6]",0.00000000,2.401424,KGeoMIP|alc=ABDEGHJ|mec=ABDEGHJ
5,1000000000,[2],"[0, 1, 3, 4]",0.00000000,1.776391,KGeoMIP|alc=ACEGI|mec=ACEGI
5,1000000000,"[1, 2]","[0, 3, 4]",0.00000000,1.780327,KGeoMIP|alc=BDFHJ|mec=BDFHJ
