N,estado_inicial,parte1,parte2,phi,tiempo_s,estrategia
10,1000000000,[0],[9],0.20000000,23786.679264,KQNodes-k3|alc=ABCDEFGHIJ|mec=ABCDEFGHIJ
9,1000000000,[1],"[0, 3, 4, 5, 6, 7, 8]",0.16666667,333.826644,KQNodes-k3|alc=ABCDEFGHIJ|mec=ABCDEFGHI
9,1000000000,[3],"[0, 1, 2, 4, 5, 7, 8]",0.22222222,1955.771349,KQNodes-k3|alc=ABCDEFGHIJ|mec=BCDEFGHIJ
8,1000000000,[5],"[0, 1, 2, 3, 4, 7]",0.18750000,34.247672,KQNodes-k3|alc=ABCDEFGHIJ|mec=BCDEFGHI
7,1000000000,[0],[6],0.21428571,7.706929,KQNodes-k3|alc=ABCDEFGHIJ|mec=ABDEGHJ
5,1000000000,[1],"[0, 3, 4]",0.00000000,0.024003,KQNodes-k3|alc=ABCDEFGHIJ|mec=ACEGI
5,1000000000,[0],[4],0.30000000,0.048521,KQNodes-k3|alc=ABCDEFGHIJ|mec=BDFHJ
9,1000000000,[1],"[0, 3, 4, 5, 6, 7, 8]",0.16666667,232.010129,KQNodes-k3|alc=ABCDEFGHI|mec=ABCDEFGHI
8,1000000000,[5],"[0, 1, 2, 3, 4, 7]",0.18750000,28.313013,KQNodes-k3|alc=ABCDEFGHI|mec=BCDEFGHI
5,1000000000,[1],"[0, 3, 4]",0.00000000,0.018001,KQNodes-k3|alc=ABCDEFGHI|mec=ACEGI
9,1000000000,[3],"[0, 1, 2, 4, 5, 7, 8]",0.22222222,1455.238176,KQNodes-k3|alc=BCDEFGHIJ|mec=BCDEFGHIJ
8,1000000000,[5],"[0, 1, 2, 3, 4, 7]",0.18750000,26.146041,KQNodes-k3|alc=BCDEFGHIJ|mec=BCDEFGHI
5,1000000000,[0],[4],0.30000000,0.048002,KQNodes-k3|alc=BCDEFGHIJ|mec=BDFHJ
8,1000000000,[5],"[0, 1, 2, 3, 4, 7]",0.18750000,26.437957,KQNodes-k3|alc=BCDEFGHI|mec=BCDEFGHI
7,1000000000,[0],[6],0.21428571,2.418124,KQNodes-k3|alc=ABDEGHJ|mec=ABDEGHJ
5,1000000000,[1],"[0, 3, 4]",0.00000000,0.017000,KQNodes-k3|alc=ACEGI|mec=ACEGI
5,1000000000,[0],[4],0.30000000,0.047119,KQNodes-k3|alc=BDFHJ|mec=BDFHJ
