prueba,n_sub,estado_inicial,alcance,mecanismo,k,estrategia,particion,perdida,tiempo_s
1,10,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,2,KGeoMIP,"[4]|[0, 1, 2, 3, 5, 6, 7, 8, 9]",0.10000000,130.5223
1,10,1000000000,ABCDEFGHIJ,ABCDEFGHIJ,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0000
2,9,1000000000,ABCDEFGHIJ,ABCDEFGHI,2,KGeoMIP,"[4]|[0, 1, 2, 3, 5, 6, 7, 8]",0.11111100,91.1070
2,9,1000000000,ABCDEFGHIJ,ABCDEFGHI,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0000
3,9,1000000000,ABCDEFGHIJ,BCDEFGHIJ,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7, 8]",0.00000000,70.0295
3,9,1000000000,ABCDEFGHIJ,BCDEFGHIJ,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0000
4,8,1000000000,ABCDEFGHIJ,BCDEFGHI,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7]",0.00000000,20.8304
4,8,1000000000,ABCDEFGHIJ,BCDEFGHI,3,KQNodes,"[5]|[0, 1, 2, 3, 4, 7]",0.18750000,498.3384
5,7,1000000000,ABCDEFGHIJ,ABDEGHJ,2,KGeoMIP,"[2, 3]|[0, 1, 4, 5, 6]",0.00000000,5.9288
5,7,1000000000,ABCDEFGHIJ,ABDEGHJ,3,KQNodes,[0]|[6],0.21428600,65.1349
6,5,1000000000,ABCDEFGHIJ,ACEGI,2,KGeoMIP,"[2]|[0, 1, 3, 4]",0.00000000,3.6728
6,5,1000000000,ABCDEFGHIJ,ACEGI,3,KQNodes,"[1]|[0, 3, 4]",0.00000000,0.9481
7,5,1000000000,ABCDEFGHIJ,BDFHJ,2,KGeoMIP,"[1, 2]|[0, 3, 4]",0.00000000,3.4540
7,5,1000000000,ABCDEFGHIJ,BDFHJ,3,KQNodes,[0]|[4],0.30000000,2.5172
8,9,1000000000,ABCDEFGHI,ABCDEFGHIJ,2,KGeoMIP,"[4]|[0, 1, 2, 3, 5, 6, 7, 8]",0.11111100,115.2393
9,9,1000000000,ABCDEFGHI,ABCDEFGHI,2,KGeoMIP,"[4]|[0, 1, 2, 3, 5, 6, 7, 8]",0.11111100,100.0527
9,9,1000000000,ABCDEFGHI,ABCDEFGHI,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0000
10,8,1000000000,ABCDEFGHI,BCDEFGHIJ,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7]",0.00000000,27.9741
11,8,1000000000,ABCDEFGHI,BCDEFGHI,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7]",0.00000000,25.4557
11,8,1000000000,ABCDEFGHI,BCDEFGHI,3,KQNodes,"[5]|[0, 1, 2, 3, 4, 7]",0.18750000,483.1514
12,6,1000000000,ABCDEFGHI,ABDEGHJ,2,KGeoMIP,"[2, 3]|[0, 1, 4, 5]",0.00000000,6.7440
13,5,1000000000,ABCDEFGHI,ACEGI,2,KGeoMIP,"[2]|[0, 1, 3, 4]",0.00000000,3.4773
13,5,1000000000,ABCDEFGHI,ACEGI,3,KQNodes,"[1]|[0, 3, 4]",0.00000000,1.3645
14,4,1000000000,ABCDEFGHI,BDFHJ,2,KGeoMIP,"[1, 2]|[0, 3]",0.00000000,0.0150
15,9,1000000000,BCDEFGHIJ,ABCDEFGHIJ,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6, 7]|[8]",0.00000000,64.0552
16,8,1000000000,BCDEFGHIJ,ABCDEFGHI,2,KGeoMIP,"[3]|[0, 1, 2, 4, 5, 6, 7]",0.12500000,17.2146
17,9,1000000000,BCDEFGHIJ,BCDEFGHIJ,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7, 8]",0.00000000,56.3774
17,9,1000000000,BCDEFGHIJ,BCDEFGHIJ,3,KQNodes-TIMEOUT,TIMEOUT,-1,600.0000
18,8,1000000000,BCDEFGHIJ,BCDEFGHI,2,KGeoMIP,"[0, 1, 2, 3, 4, 5, 6]|[7]",0.00000000,12.9742
18,8,1000000000,BCDEFGHIJ,BCDEFGHI,3,KQNodes,"[5]|[0, 1, 2, 3, 4, 7]",0.18750000,301.6975
19,6,1000000000,BCDEFGHIJ,ABDEGHJ,2,KGeoMIP,"[2]|[0, 1, 3, 4, 5]",0.08333300,4.2957
